symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CSF3R	0.10061957579877118	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1473387835878165	No data	No data	No data	No data	No data	No data	0.012158615952232422	0.3580517355813792	No data	1	1	1	0	0	0	0	No data	-0.40165471594043023	-0.48612637707390327	0	No data	-1	0	0.5	0
FKBP1A	0.10060784933083547	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1654922726831635	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.86111	1	0.31991174848317705	-0.9406943921665206	0	No data	No data	-0.88426	-1	-1
IL1RL2	0.09935652523546107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1587374860430344	No data	No data	No data	No data	No data	No data	0.060793079761162105	0.06690992384264499	No data	1	0	0	0	0	0	0	No data	0.4495311638168782	-0.2733371732431142	0	No data	No data	0	0.5	0
CD3E	0.09915610511863909	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16253705352810702	No data	No data	No data	No data	No data	No data	No data	0.011344203228688891	No data	1	1	0	0	0	0	0	No data	-0.49156094870380584	-0.6367618143685618	0	No data	No data	0	1	0
PDE4A	0.09848166898385631	0.08464527468961495	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1401618227826793	No data	No data	No data	No data	No data	No data	0.030227670214577826	No data	No data	1	1	0	1	1	1	0.046274999999999976	0	-0.7581908439051296	No data	0	-1	No data	0	-1	-1
IL1RAP	0.09834930577442898	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1587374860430344	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	1	0	1	0	0	0	0.4561399999999999	No data	-0.34903474903474907	0	0	No data	No data	0	1	-1
GLP2R	0.09624732035090973	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	0.12673668433542268	No data	No data	1	1	0	0	1	0	0	No data	0.5430777716492001	No data	0	No data	No data	0	0.5	0
IL17A	0.09560394796570253	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13678442946261474	No data	No data	No data	No data	No data	No data	0.35347787078518467	0.12613103538288142	No data	1	0	1	1	1	0	0	No data	-0.3253171538885825	-0.8362821336384804	0	No data	No data	0	0.5	1
GHR	0.09526847386141614	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	0.08409709366960759	0.023483312321574815	No data	1	1	1	0	0	0	0	No data	-0.5031439602868174	-0.9390646860478047	0	No data	No data	0	0.5	0
CX3CL1	0.09310109208252428	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14353921610274387	No data	No data	No data	No data	No data	No data	0.1790950114270612	0.0292617156130493	No data	0.5	1	1	0	0	0	0	No data	-0.5995587424158852	0	0	No data	No data	0	-1	0
