symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PDE3B	0.5756998127897206	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9296273289989553	No data	No data	No data	No data	No data	No data	0.12496355284238879	No data	0.2915636105345335	1	0	0	1	1	1	0.06475000000000009	No data	-0.02327633756205183	-0.31207691052697634	0	-1	No data	0	0.5	0
F2	0.5725662522101362	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9192925054395579	No data	No data	No data	No data	No data	No data	0.4507100542924854	No data	No data	1	0	1	1	1	1	0.05144499999999965	0	-0.629453943739658	-0.9465480331543918	0	-1	No data	0	1	1
PDE1A	0.5694163116920176	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	0.2279740491043579	No data	No data	1	0	0	1	1	0	0.5368600000000001	1	-0.19680088251516825	-0.8187234931384143	0	No data	No data	-0.17769249999999986	0.5	0
PDE4D	0.5691505628685961	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	0.2192313163964413	No data	No data	1	1	0	1	1	1	0.8640300000000003	1	-0.7921676778819636	-0.7179121096382592	0	-1	No data	-0.1131025000000001	0.5	0
PDE8A	0.566552067818211	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	0.13374477547455663	No data	No data	1	0	0	1	1	0	0	No data	-0.5300606729178158	0	0	No data	No data	-0.14053000000000004	-1	-1
ADRB1	0.5659059288293766	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9141046871214492	No data	No data	No data	No data	No data	No data	0.33535189620792394	No data	No data	1	1	0	1	1	0	0.5178199999999997	0	0.9682294539437397	-0.5293645670915037	0	-1	No data	0	0.5	0
ITGB3	0.5642892997647657	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9134055903976439	No data	No data	No data	No data	No data	No data	0.2961491895715176	No data	No data	1	1	0	1	1	0	0.5304549999999999	0	-0.4563706563706563	-0.9686728684569718	0	No data	No data	0	0.5	0
PDE4A	0.5635492314988979	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	0.03495602086266821	No data	No data	1	1	0	1	1	1	0.046274999999999976	0	-0.7581908439051296	No data	0	-1	No data	0	-1	-1
PDE1C	0.5635440984453606	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	0.034787151196664985	No data	No data	1	0	0	1	1	0	0.5134000000000001	1	-0.2172090457804744	-0.2968332104456023	0	No data	No data	0	0.5	0
PDE7A	0.5634106390533912	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	0	0	1	1	1	0.709545	No data	0.4391616105901821	No data	0	No data	No data	0	0.5	-1
