gene,free:hom_g2,free:hom_e2,free:v,free:w,free:V_BIN,free:V_BMem,free:V_CD4ET,free:V_CD4NC,free:V_CD8ET,free:V_CD8NC,free:V_NK,free:W_BIN,free:W_BMem,free:W_CD4ET,free:W_CD4NC,free:W_CD8ET,free:W_CD8NC,free:W_NK,free:ct_beta_BIN,free:ct_beta_BMem,free:ct_beta_CD4ET,free:ct_beta_CD4NC,free:ct_beta_CD8ET,free:ct_beta_CD8NC,free:ct_beta_NK,p:free:hom_g2,p:free:hom_e2,p:free:V,p:free:W,p:free:vc_BIN,p:free:vc_BMem,p:free:vc_CD4ET,p:free:vc_CD4NC,p:free:vc_CD8ET,p:free:vc_CD8NC,p:free:vc_NK
ENSG00000133612,0.0122316,0.0525966,0.0678584,0.0731808,0.0421744,0.0671581,0.104743,0.00633911,0.0670358,-0.00980589,0.197364,-0.279929,0.679334,0.450359,0.0797758,0.134323,0.192448,-0.744045,-1.70472,-0.781412,-0.212039,-0.378886,0.0536837,-0.384047,0.82874,0.321245,0.299358,0.981938,0.810805,0.30274,0.372123,0.323227,0.443816,0.33556,0.541872,0.18857
ENSG00000033050,0.00148998,0.0428127,0.0418318,0.0102129,0.0236949,0.0798065,0.0920376,-0.00793881,0.00469409,0.0287157,0.0718123,-0.132758,-0.361369,0.16805,0.0356166,0.0766618,0.097385,0.187904,-0.48989,-0.0381029,0.738619,0.184296,0.294351,0.358693,0.471713,0.445475,0.0891975,0.764036,0.77055,0.348422,0.242933,0.181768,0.718995,0.453447,0.23158,0.112412
ENSG00000033100,-0.00278829,0.0746166,0.0538686,0.127897,0.1357,0.172638,0.048801,0.0308001,0.0441927,-0.012729,-0.042322,-0.618893,-0.13588,0.0186273,-0.0522629,0.0556818,0.413963,1.21404,-0.304757,-0.265898,0.196291,-0.486988,0.832011,-0.2554,2.12301,0.568567,0.0802812,0.723025,0.0130764,0.152558,0.11889,0.346876,0.11179,0.295219,0.59477,0.674048
ENSG00000082014,-0.00288917,0.182911,-0.00989223,0.114139,-0.00212766,-0.00861927,-0.0374382,-0.0042084,-0.0369029,0.0249594,-0.0049085,-0.293235,-0.225234,0.414973,0.256831,-0.0940104,0.973228,-0.233581,-1.26882,-1.25794,0.632675,1.05185,-0.274624,2.33736,-0.553461,0.57001,0.000676095,0.999533,0.0226143,0.5197,0.553417,0.569884,0.537502,0.724398,0.439247,0.537377
ENSG00000013374,0.0249425,0.0535996,0.00307227,0.0731282,-0.0314722,-0.0804267,0.0326855,-0.0133757,0.0648717,-0.0118144,0.0610377,0.140111,0.0234473,0.0172313,0.0292172,0.115302,0.0389784,0.14761,-0.55251,-0.0742016,-0.0934268,-0.422482,0.540209,-0.254465,1.35786,0.0126501,0.0129157,0.390493,0.81815,0.800778,0.919635,0.300681,0.875321,0.0470085,0.681776,0.100337
ENSG00000187260,0.0558049,0.247828,0.124238,0.212266,0.0557019,-0.0146413,0.391387,0.169127,-0.0125908,0.33818,-0.0575003,1.35248,-0.518151,-0.0445334,0.639725,0.119988,0.331466,-0.395113,-0.236645,-1.09358,1.22401,0.162699,-0.776044,0.559973,-1.74098,0.0400122,0.000433304,0.0526844,7.18791e-12,0.403395,0.55657,0.118314,0.0167784,0.573214,0.0567926,0.962331
ENSG00000106615,0.0136256,0.107535,-0.0210039,0.157009,-0.0351526,-0.0826928,-0.0228514,-0.0220663,0.00637599,-0.0174766,0.0268363,-0.238056,0.102839,0.557213,0.211945,0.109866,0.144592,0.210662,-1.00062,-0.793308,0.464968,-0.367633,0.969209,-0.150321,1.73172,0.136779,8.78505e-06,0.357505,3.71887e-07,0.901059,0.974438,0.65209,0.950925,0.434818,0.762462,0.27365
ENSG00000106617,0.0605702,0.178957,0.0299193,-0.119041,0.274302,0.159306,-0.166268,-0.0260012,-0.0711036,0.10694,-0.0677409,-0.750332,-0.15203,-0.29893,0.0914446,0.13403,0.0245809,0.117948,-1.08201,-0.0599082,-0.386409,-0.0625847,-0.220419,0.0751076,0.897731,0.0402115,0.00531567,0.387293,0.712289,0.0877597,0.250201,0.95627,0.747933,0.851309,0.171229,0.782077
ENSG00000239911,0.0232024,0.133018,-0.00514344,0.206502,-0.0105061,0.1371,-0.18631,0.00860902,0.0427811,0.0259123,-0.0535904,0.283554,-0.266312,0.93306,0.0889411,0.181473,0.274999,-0.0502011,-1.37219,-0.7332,0.611756,1.01761,-0.878384,0.782271,-1.05116,0.0657858,0.00402092,0.273248,0.452387,0.548768,0.21812,0.988775,0.362815,0.241916,0.363597,0.920086
ENSG00000178234,-0.00216655,0.0365998,-0.00759229,0.194606,0.000657876,0.0399454,-0.0237904,-0.00253214,0.034219,-0.0476187,-0.054027,-0.0537634,-0.437567,0.183024,-0.0510196,0.59793,0.310651,0.812985,-2.18141,-1.62563,-0.738894,-0.818087,2.01994,0.128331,2.42236,0.596907,0.145399,0.752233,0.00686764,0.494419,0.299765,0.633739,0.592469,0.280837,0.954208,0.750962
