symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
IMPDH2	0.3481387757908678	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5726618509188897	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.9416350000000001	0	-0.3387755102040816	-0.5346493706516381	0	-1	No data	-0.5768474999999998	-1	-1
IL2RB	0.3471841367793748	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5579116025414649	No data	No data	No data	No data	No data	No data	No data	No data	0.2635987938443989	1	1	0	0	0	0	0	No data	-0.553557639271925	-0.7368447613228502	0	No data	No data	0	0.5	0
PPAT	0.3453313097745555	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5680437825016585	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.65184	No data	-0.67280750137893	0	-1	No data	No data	No data	-1	-1
PTGS2	0.3427853152200609	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5571685760110507	No data	No data	No data	No data	No data	No data	0.13374477547455663	No data	No data	1	0	0	1	1	0	0.3377499999999998	0	-0.8618863761720905	-0.9746906083086682	0	-1	No data	-0.027317500000000015	0.5	0
CLEC4C	0.3414833675208633	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5492485886754993	No data	No data	No data	No data	No data	No data	No data	No data	0.2493124201005258	0.75	1	0	0	0	0	0	No data	-0.2188637617209046	-0.30558474588173234	0	No data	No data	0	0.5	0.5
PTGS1	0.33769332611107167	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5554798793510184	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.4741250000000001	1	-0.253392167677882	-0.9396768567376201	0	-1	No data	-0.040067499999999964	0.5	0
TRPV1	0.33159525850877414	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5454490211904267	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.3444600000000001	0	0.4622173193601764	-0.9135447712769725	0	-1	No data	0	0.5	-1
FAAH	0.33159525850877414	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5454490211904267	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.1968899999999998	1	0.3113072255929399	-0.3148580926584757	0	-1	No data	0	-1	-1
JAK1	0.32822298026952185	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5258151472823386	No data	No data	No data	No data	No data	No data	0.06214403708918793	No data	0.2541150734016576	1	0	0	1	1	0	0.7400350000000003	1	-0.9731936017650303	-0.9404145109122005	0	No data	-1	0	-1	-1
CD40LG	0.31269116660362084	0.0579422618232441	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4665024523339175	No data	No data	No data	No data	No data	No data	0.7302812890911611	No data	0.34718927851599674	0.75	1	1	0	1	1	0	No data	No data	-0.7191046177158996	0	No data	No data	0	0.75	0.5
IL12B	0.30473940351941015	0.4311331632068519	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2794792972353424	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	1	0	0	0	0	No data	0.05195808052950901	-0.7718641284023925	0	No data	No data	No data	0.5	1
DHFR	0.2992570212238627	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.49225507639940985	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.4919800000000002	0	0.044125758411472704	-0.8860137788537494	-1	-1	No data	-0.799465	-1	-1
VDR	0.29400077440168026	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.48360894950004457	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.4028100000000002	0	-0.4177606177606178	-0.959527199762138	0	-1	No data	0	1	0
HMGCR	0.2902125808911621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.47737765882452543	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.6734250000000003	1	-0.7436293436293436	-0.3074028175658705	-1	-1	No data	No data	0.5	-1
IFNG	0.2884292355122411	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	0.6922029579982764	No data	0.6427118188394101	1	0	1	0	1	0	0	No data	0.22371759514616651	-0.9682076841562822	0	No data	No data	No data	0.75	0.5
ESR1	0.27926377769612776	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	0.06839221473130737	No data	No data	1	0	0	1	1	1	0.4789900000000003	1	-0.734142305570877	-0.9363843084471015	0	-1	-1	0	0.5	0
PGR	0.27718489101352634	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.008574999999999732	0	-0.6275785990071705	-0.8140812228572131	0	-1	No data	0	0.75	0
ESR2	0.27718489101352634	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.43395999999999973	0	0.05802537231108662	-0.9721646958413429	0	-1	No data	0	0.5	0
RRM1	0.24528159231239816	0.3730730544812056	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	1	1	0.88005	No data	-0.9288472145615003	-0.5716429955725768	-1	-1	No data	No data	-1	-1
