symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CD80	0.6012032469378922	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.985212517457472	No data	No data	No data	No data	No data	No data	0.07442345056067762	No data	No data	1	1	0	0	0	0	0	No data	-0.25570876999448433	0	0	No data	No data	0	0.5	0.5
PDE4A	0.5990306220244261	0.16299126261726893	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9409141452706576	No data	No data	No data	No data	No data	No data	0.16640667234126624	No data	No data	1	1	0	1	1	1	0.046274999999999976	0	-0.7581908439051296	No data	0	-1	No data	0	-1	-1
TRAF3IP2	0.5971950757104049	0.8636691330471338	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	0.36197535613002363	0.024730415607504327	0.32334319297968095	0.75	0	0	0	0	0	0	No data	-0.3327082184225041	-0.8092864702482344	0	-1	No data	No data	-1	-1
PPAT	0.5893254647742786	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9693956402432032	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.65184	No data	-0.67280750137893	0	-1	No data	No data	No data	-1	-1
IL23A	0.5831147561431625	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9197929977586355	No data	No data	No data	No data	No data	No data	0.6716286949245059	No data	0.26122786373371354	1	0	1	0	0	0	0	No data	0.6069498069498069	-0.7944153438648616	0	No data	No data	No data	1	0.5
CD40	0.5783549261030229	0.9266696643697705	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599134970145263	No data	No data	No data	No data	No data	No data	0.2557095912397401	No data	No data	0.5	1	1	0	1	0	0	No data	-0.4698290126861555	-0.2546557938051766	0	-1	No data	0	-1	0
PDE4B	0.5765790746251955	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9409141452706576	No data	No data	No data	No data	No data	No data	0.13813538679064055	0.027354676982048104	No data	1	0	0	1	1	1	0.8573349999999997	1	-0.8223938223938224	-0.7027944885547068	0	-1	No data	-0.26630499999999985	0.5	-1
PDE4D	0.5723802666731322	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9409141452706576	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	1	0	1	1	1	0.8640300000000003	1	-0.7921676778819636	-0.7179121096382592	0	-1	No data	-0.1131025000000001	0.5	0
PDE4C	0.5720106868184476	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9409141452706576	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0	No data	0.1384445670159955	-0.05373224667943238	0	No data	No data	-0.2279399999999999	0.5	0
IL1R1	0.5684123511481676	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8909881597055067	No data	No data	No data	No data	No data	No data	0.6558784704889836	0.05718269598327628	0.4724230228239907	1	1	1	1	1	0	0	No data	-0.5330391616105902	-0.9171723389502475	0	No data	No data	0	-1	-1
ATP4A	0.5417461028045724	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8877168268746511	No data	No data	No data	No data	No data	No data	0.06828751553838537	No data	No data	1	1	0	0	1	0	0.8985500000000002	No data	-0.27435190292333145	-0.29269888059615334	0	No data	No data	-0.10627999999999993	1	0.5
IL6	0.5073738164844628	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.6620505450133076	No data	No data	No data	No data	No data	No data	0.9251170754891463	No data	No data	1	0	1	1	1	0	0	No data	-0.1521235521235521	-0.9761123172086772	0	-1	No data	No data	0.5	0
