symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PRKCB	0.47002347503998854	0.7342941143019799	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.3624791305274802	0.032574410268947473	No data	1	0	0	1	1	0	0.9405650000000001	0	-0.9295091009376724	-0.19638901909574596	0	-1	No data	-0.4985150000000001	0.5	0
OSMR	0.4416309679034051	0.689845564373781	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.054482420342621476	0.2486822977454119	No data	0.5	0	0	0	0	0	0	No data	-0.07181467181467183	-0.8965352017609803	0	No data	No data	0	-1	0
MAP3K8	0.42173718568217333	0.6531536337268229	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.2721823355777515	0.11093318039883028	0.2591608990218341	0.5	0	0	1	1	0	0.6680950000000003	0	-0.5941533370104799	-0.8574022827241295	0	No data	No data	0	1	-1
TYK2	0.4198882409909827	0.06255571123318883	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6691014721697067	No data	No data	No data	No data	No data	No data	0.2674742866034685	No data	No data	1	0	0	1	1	0	0	1	-0.5373414230557088	-0.9015325860226683	0	No data	No data	0	-1	0
JAK1	0.4138179755288461	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6685188936214973	No data	No data	No data	No data	No data	No data	0.24360507282019042	No data	No data	1	0	0	1	1	0	0.7400350000000003	1	-0.9731936017650303	-0.9404145109122005	0	No data	-1	0	-1	-1
IL2RA	0.4105032431516362	0.6149843183637401	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16253705352810702	No data	No data	No data	No data	No data	No data	0.6347820049243589	0.1487885931326253	0.34652055463862397	1	0	0	0	1	0	0	No data	-0.1079977937120794	-0.8957419950085688	0	No data	No data	No data	0.5	0
CXCR2	0.3973092200246389	0.6072935177843344	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.5019889382738217	0.3758504491811098	No data	0.75	1	0	1	1	0	0	No data	0.3233314947600663	-0.9000153174724181	0	No data	No data	-0.368055	0.5	0
MADCAM1	0.3940707294101654	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6140607664875382	No data	No data	No data	No data	No data	No data	0.6772330537057057	0.013230346234617052	No data	0.75	0	0	0	0	0	0	No data	0.9322669608383893	0	0	No data	No data	No data	0.5	0
PDE4A	0.3857812770513253	0.08464527468961495	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5916855357421105	No data	No data	No data	No data	No data	No data	0.669806818345696	No data	No data	1	1	0	1	1	1	0.046274999999999976	0	-0.7581908439051296	No data	0	-1	No data	0	-1	-1
PPAT	0.37956877686826335	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6228419891197061	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	0	0	0	0	0	0.65184	No data	-0.67280750137893	0	-1	No data	No data	No data	-1	-1
