symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CHRM4	0.4415912675859106	0.25883633721842436	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6507473663678784	No data	No data	No data	No data	No data	No data	0.1536656484586702	No data	0.4053074627676678	1	0	0	1	1	0	0.80167	1	-0.7973524544953117	-0.6917897689182095	0	-1	No data	0	0.5	0.5
SLC6A4	0.4377725697261474	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6781640647508255	No data	No data	No data	No data	No data	No data	0.5193914012559974	No data	0.607930797611621	1	0	0	1	1	0	0.6269849999999998	1	-0.770876999448428	-0.9473079979499779	0	-1	No data	0	0.75	0.5
GABRA5	0.43734702387476765	No data	No data	0.18237923928348632	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.670667485205337	No data	No data	No data	No data	No data	No data	0.1413157559272577	No data	No data	1	1	0	1	1	0	0.7727249999999998	1	-0.6205184776613348	-0.8134951372755816	0	-1	No data	-0.2640699999999999	1	0.5
GABRA3	0.4287010232379019	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.670667485205337	No data	No data	No data	No data	No data	No data	0.4802653301131807	0.017554511198941292	0.4626201387125033	1	1	0	1	1	0	0.8069099999999999	No data	No data	-0.17073779750080204	0	-1	No data	-0.15142249999999996	0.75	0.5
CHRM1	0.4252777455519156	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6558584882589094	No data	No data	No data	No data	No data	No data	0.45213571180527357	No data	0.6728730050664826	1	1	0	1	1	0	0.9456499999999999	1	-0.8674020959735246	-0.20740786302009984	0	-1	No data	0	0.75	0.5
SLC6A2	0.42330307262519734	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6808927692217542	No data	No data	No data	No data	No data	No data	0.30817285062814814	No data	No data	1	0	0	1	1	0	0.7163699999999998	0	-0.6671814671814672	-0.8540901114029333	0	-1	No data	-0.1693674999999999	0.5	0.5
GRIN1	0.4230041495083322	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6512872487094075	No data	No data	No data	No data	No data	No data	0.6279040971648707	No data	0.5907263560392122	1	1	0	1	1	0	0.9520249999999997	No data	-0.60419194704909	-0.9385901742958247	0	-1	No data	0	1	0.5
GRIN2B	0.42071365314296183	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6512872487094075	No data	No data	No data	No data	No data	No data	0.8150952923625955	No data	No data	1	1	0	1	1	0	0.9258749999999999	0	-0.9940430226144512	-0.9036090904800023	0	-1	No data	0	1	1
CHRM2	0.41995589877683454	0.054369311954318475	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6746191258788925	No data	No data	No data	No data	No data	No data	0.11628499798913353	No data	No data	1	1	0	1	1	0	0.8175950000000001	0	-0.6265857694429122	-0.7590473586094767	0	-1	No data	0	0.5	0.5
GABRG1	0.4165943520872774	0.058703152954028115	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6684963037852956	No data	No data	No data	No data	No data	No data	0.09422927362980127	No data	No data	1	1	0	1	1	0	0.7634399999999999	No data	0.5235521235521237	-0.7017403682198287	0	-1	No data	-0.3548400000000001	1	0.5
GABRA1	0.41597036466898224	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.670667485205337	No data	No data	No data	No data	No data	No data	0.271443575102203	No data	No data	1	1	0	1	1	0	0.923245	No data	-0.9006067291781578	-0.906165811564083	0	-1	No data	-0.38596499999999984	0.75	0.5
OPRM1	0.4152348578872578	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.655636478257533	No data	No data	No data	No data	No data	No data	0.4163644716157432	No data	0.295879919197576	1	1	0	1	1	0	0.6	0	0.20441257584114725	-0.7318734691478398	0	-1	No data	0	0.5	0.5
GABRG2	0.4138434255549105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6725588254645731	No data	No data	No data	No data	No data	No data	0.16364370316620452	No data	No data	1	1	0	1	1	0	0.94737	No data	-0.763596249310535	-0.9310584442714309	0	-1	No data	-0.3157900000000001	0.75	0
ESR2	0.4136226465135468	0.5013197308721079	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5530481561605719	No data	No data	No data	No data	No data	No data	0.0899890643555413	No data	No data	1	0	0	1	1	1	0.43395999999999973	0	0.05802537231108662	-0.9721646958413429	0	-1	No data	0	0.5	0
SLC18A2	0.4095026173593051	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6626550706389662	No data	No data	No data	No data	No data	No data	0.21891280226353427	No data	No data	1	0	0	1	1	0	0.6206249999999998	No data	-0.4647545504688362	-0.912641429885285	0	-1	No data	-0.09046749999999992	0.5	0
GRIN2D	0.40908125498654274	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6512872487094075	No data	No data	No data	No data	No data	No data	0.4324070586978668	No data	No data	1	1	0	1	1	0	0.8315849999999998	No data	-0.5156094870380585	-0.5879137193497569	0	-1	No data	0	0.5	0.5
OPRD1	0.4076064962724926	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6450821241323312	No data	No data	No data	No data	No data	No data	0.041457503003792494	No data	0.48956667131663845	1	1	0	1	1	0	0.67742	1	0.643684500827358	-0.17073779750080204	0	-1	No data	0	0.5	1
GABRG3	0.40750309767113213	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6684963037852956	No data	No data	No data	No data	No data	No data	0.03630697819069404	No data	No data	1	1	0	1	1	0	0.796575	No data	-0.569111969111969	No data	0	-1	No data	-0.15953000000000017	0.5	0.5
GRIN2C	0.40748886046552174	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6512872487094075	No data	No data	No data	No data	No data	No data	0.3739947290744577	0.013556178429573658	No data	1	1	0	1	1	0	0.4444450000000003	No data	0.33667953667953676	-0.17073779750080204	0	-1	No data	0	1	0.5
GRIN3B	0.407442024188665	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6512872487094075	No data	No data	No data	No data	No data	No data	0.3784788548852666	No data	No data	1	1	0	1	1	0	0	No data	0.8228350799779371	-0.2780188477560344	0	-1	No data	0	0.5	0.5
SCN7A	0.4066565396579573	0.03765292779285577	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6588304184327065	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	1	0	1	1	0	0	No data	0.2736900165471594	No data	0	No data	No data	0	0.5	0
GRIN3A	0.4065277320070104	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6512872487094075	No data	No data	No data	No data	No data	No data	0.34840003060965696	No data	No data	1	1	0	1	1	0	0.6681600000000003	No data	-0.506784335355764	0	0	-1	No data	0	1	0.5
SCN2A	0.40574589607495154	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6588304184327065	No data	No data	No data	No data	No data	No data	0.17181542132348643	No data	No data	1	1	0	1	1	0	0.9052349999999997	1	-0.9755102040816327	-0.7879993830187495	0	No data	No data	-0.6907724999999999	1	0.5
TAAR1	0.40504945673470816	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6439735202791765	No data	No data	No data	No data	No data	No data	0.446041587756066	No data	No data	0.75	1	0	1	1	0	0	0	0.9774958632101489	-0.25767191728889277	0	No data	No data	0	1	1
OPRK1	0.4045094876212076	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.655636478257533	No data	No data	No data	No data	No data	No data	0.1950182643853596	No data	No data	1	1	0	1	1	0	0.6842100000000002	1	-0.10601213458356318	-0.27685619097280456	0	-1	No data	0	0.5	0.5
SLC6A9	0.40257756069028044	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6435476657938629	No data	No data	No data	No data	No data	No data	0.37323705157534276	No data	No data	0.75	0	0	1	1	0	0.8104250000000001	1	-0.6394925537782681	-0.8447136723111633	0	No data	No data	0	0.5	0
SCN9A	0.40246359600568804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6588304184327065	No data	No data	No data	No data	No data	No data	0.06383273374922022	No data	No data	1	1	0	1	1	0	0.660465	1	-0.1960286817429675	-0.8488375915953811	0	No data	No data	-0.4579975000000001	0.5	0
SCN8A	0.40140398150798656	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6588304184327065	No data	No data	No data	No data	No data	No data	0.021277577916406734	0.01731475812317665	No data	1	1	0	1	1	0	0.9267699999999998	No data	-0.9630446773303916	-0.9487367157153703	0	No data	No data	-0.4229800000000001	0.75	0.5
SCN4A	0.400892881623278	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6588304184327065	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	1	1	0	0.626905	No data	-0.5344732487589631	-0.8611015622174975	0	No data	No data	-0.28240750000000003	0.75	0.5
SCN3A	0.400892881623278	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6588304184327065	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	1	0	1	1	0	0.7399999999999999	No data	-0.8473248758963045	-0.4580197190296931	0	No data	No data	-0.6925000000000001	0.5	0.5
SCN10A	0.40052330176859335	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6588304184327065	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.11043000000000021	0	0.16282404853833432	-0.791664813861688	0	-1	No data	-0.04524500000000007	No data	No data
